investor_a,investor_b,total_coinvestments
2817dddf-c547-a392-2fcb-b98f2c3e0ff1,d8afd346-6d63-4cc4-8c01-393e4159c032,1
2817dddf-c547-a392-2fcb-b98f2c3e0ff1,65453fa9-443d-582c-4e49-6dd46023f835,1
d8afd346-6d63-4cc4-8c01-393e4159c032,eda6a0cc-0121-4970-3327-a0e54ac744f6,1
01b78c00-b6e2-7cbc-8286-8d14d09d441e,6f2acf2a-5cbf-adb1-cbb4-5829ab0b08cd,1
01b78c00-b6e2-7cbc-8286-8d14d09d441e,fb8d57c4-eb30-d2e3-ac69-b62cc0f27bbf,1
01b78c00-b6e2-7cbc-8286-8d14d09d441e,45a90b77-9e8f-e5ea-e508-2068c72e90e3,1
01b78c00-b6e2-7cbc-8286-8d14d09d441e,1eb5764e-21ca-9b3a-7e62-ffa6bd38b35d,2
11ad455c-8958-421c-81ee-aafc4b511b43,16b2c850-9470-a7f5-8dcc-239bca28eea7,1
16b2c850-9470-a7f5-8dcc-239bca28eea7,1bd15aa6-56ac-0d89-9405-7b7a4c8f76f0,1
581df938-5e48-b5ca-b8d0-5446390d3391,a934eadd-65f2-4c08-9be7-51dad523dd2c,1
18128788-92b7-4d75-9ef8-6c4f172617bb,581df938-5e48-b5ca-b8d0-5446390d3391,1
8703d6e5-f8a3-c8db-76a9-9312b66572d3,9ac9ae67-8b94-b039-57e4-04b7f2791719,1
172a34b4-9edd-b0ae-c768-cbfa8e1ab52c,8703d6e5-f8a3-c8db-76a9-9312b66572d3,1
60996d90-6827-414a-b30d-227d2a5f9223,e8487396-f60c-25f1-2bb5-bfcb4e0f4b66,1
60996d90-6827-414a-b30d-227d2a5f9223,b4386e5f-53a6-fc77-ebd4-b6e0bef0aaef,1
