investor_name,investment_count,25m_count,100m_count,250m_count,earliest_investment_experience,broad_category_count,specific_category_count,annualised_investment_count,25m_rate,100m_rate,250m_rate,experience,broad_diversity,specific_diversity,weighted_success_rate
Hudson River Capital Partners,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
YBR Capital,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Gaurav Lahoti,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Gramercy Funds Management,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Pavni Diwanji,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
The Invention Lab,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Growth Circuit,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Modular Capital,6,0,0,0,2021,7,7,0.6666666666666666,0.0,0.0,0.0,0.2727272727272727,0.0534262485481997,0.0278155706727135,0.0
Ray Chan,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
The Global Good Fund,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Jonathan Zweig,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Alexander Kayne,1,0,0,0,2021,1,4,0.1111111111111111,0.0,0.0,0.0,0.2727272727272727,0.0034843205574912,0.056235827664399,0.0
Dan Becker,1,0,0,0,2021,5,3,0.1111111111111111,0.0,0.0,0.0,0.2727272727272727,0.1707317073170731,0.0308390022675736,0.0
Kent Novak,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Dino Fino,1,0,0,0,2021,4,5,0.1111111111111111,0.0,0.0,0.0,0.2727272727272727,0.1080139372822299,0.0888888888888888,0.0
playlabs,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Ilya Lagutin,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
EPIC Ventures,5,2,0,0,2021,11,17,0.5555555555555556,0.4,0.0,0.0,0.2727272727272727,0.1651567944250871,0.207891156462585,0.112
LVenture Group,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Jesus Rodriguez,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Endeavor Miami,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Patrick Abadie,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
DB1 Ventures,1,0,0,0,2021,2,2,0.1111111111111111,0.0,0.0,0.0,0.2727272727272727,0.024390243902439,0.0126984126984126,0.0
Munir F. Jiwani,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Nordic Angel Program,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Jim Cash,1,1,0,0,2021,5,4,0.1111111111111111,1.0,0.0,0.0,0.2727272727272727,0.1707317073170731,0.056235827664399,0.28
080808 Capital,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Wakefield Group,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Thomas Chen,1,0,0,0,2021,6,6,0.1111111111111111,0.0,0.0,0.0,0.2727272727272727,0.2473867595818815,0.1287981859410431,0.0
Manifold,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
dParadigm Fund SPC,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Leap Forward Ventures,1,0,0,0,2021,2,2,0.1111111111111111,0.0,0.0,0.0,0.2727272727272727,0.024390243902439,0.0126984126984126,0.0
Multicoin Capital,8,3,0,0,2021,15,15,0.8888888888888888,0.375,0.0,0.0,0.2727272727272727,0.1925087108013937,0.1002267573696145,0.105
Blake Griffin,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Upsparks,7,0,0,0,2021,10,15,0.7777777777777778,0.0,0.0,0.0,0.2727272727272727,0.0960676953708312,0.1148040168448331,0.0
CM Venture Capital,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Rick Farman,1,0,0,0,2021,3,4,0.1111111111111111,0.0,0.0,0.0,0.2727272727272727,0.0592334494773519,0.056235827664399,0.0
Mills Automotive Group,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Space Capital,4,0,0,0,2021,10,12,0.4444444444444444,0.0,0.0,0.0,0.2727272727272727,0.1707317073170731,0.1287981859410431,0.0
Skyline Capital,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Xochi Ventures,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
AfterWork Ventures,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Justin Gage,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Nisa Amoils,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Andrew Keys,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Gnosis,1,0,0,0,2021,4,3,0.1111111111111111,0.0,0.0,0.0,0.2727272727272727,0.1080139372822299,0.0308390022675736,0.0
Greg Silverman,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Patrick McClory,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Christina Milian,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Morio Kurosaki,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Bouaziz & Partners,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Jennus Innovation,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Jay Batson,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Connect Tech & Talent,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Gian Fulgoni,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Corpus Sigorta A.Ş.,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
G5 Capital,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Hugo Angelmar,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Tarkan Onar,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Zepp,1,0,0,0,2021,3,2,0.1111111111111111,0.0,0.0,0.0,0.2727272727272727,0.0592334494773519,0.0126984126984126,0.0
Cornell Tech,3,0,0,0,2021,10,13,0.3333333333333333,0.0,0.0,0.0,0.2727272727272727,0.2288037166085946,0.2025699168556311,0.0
BioCity Group,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Jimmy Hutcheson,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Global Technology Enterprise,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Everstake Capital,5,0,0,0,2021,5,6,0.5555555555555556,0.0,0.0,0.0,0.2727272727272727,0.0313588850174216,0.0243083900226757,0.0
Dennis Purcell,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Per Hjelde,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Serg Bell,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
WhoAt,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Ben Silverman,1,0,0,0,2021,3,2,0.1111111111111111,0.0,0.0,0.0,0.2727272727272727,0.0592334494773519,0.0126984126984126,0.0
Hitachi Ventures,1,0,0,0,2021,5,2,0.1111111111111111,0.0,0.0,0.0,0.2727272727272727,0.1707317073170731,0.0126984126984126,0.0
Chaotic Investments,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Henry Shao,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
HyperNFT,1,0,0,0,2021,1,1,0.1111111111111111,0.0,0.0,0.0,0.2727272727272727,0.0034843205574912,0.001814058956916,0.0
Wadi Makkah Ventures,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Christoph Deckert,1,0,0,0,2021,3,3,0.1111111111111111,0.0,0.0,0.0,0.2727272727272727,0.0592334494773519,0.0308390022675736,0.0
Callais Capital,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
AlphaLab Gear,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
